Reference area,Measure,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
Australia,Real house price indices,100,104.8446063,112.1957971,108.7818038,102.4877997,106.6616288,122.7864259,124.4797808,119.0732229
Australia,Rent prices,100,100.7520626,101.3901627,102.0510378,102.4157128,101.4585377,101.2762377,103.646338,110.5287388
Canada,Real house price indices,100,109.066605,120.400161,122.8257481,122.6267637,129.6365193,144.5263734,152.4761632,144.0240046
Canada,Rent prices,100,100.6611851,101.3012851,102.4548102,105.2542605,107.0127607,108.8204359,113.8918364,121.0733871
Germany,Real house price indices,100,106.6701678,111.3538074,116.7538392,121.7746357,130.463877,141.5216141,139.3792915,119.4565065
Germany,Rent prices,100,101.133325,102.53335,104.058325,105.558325,107.04225,108.505175,110.35165,112.599525
Japan,Real house price indices,100,102.557654,104.7592731,106.0521804,107.2553967,106.9942083,112.7083777,118.6825603,118.7204764
Japan,Rent prices,100,99.7103625,99.4289975,99.28831,99.280035,99.31314,99.213835,99.2717625,99.3379675
Korea (Republic of),Real house price indices,100,100.29286,99.54772629,99.52072217,98.53036521,100.8826037,107.0371173,104.681366,94.16875161
Korea (Republic of),Rent prices,100,101.8634475,103.5075474,104.1475974,104.0407974,104.2675724,105.7073224,107.6667223,108.1793473
New Zealand,Real house price indices,100,113.437549,118.9458417,121.6366486,123.4853457,133.8687127,164.3206525,155.6920977,137.7917202
New Zealand,Rent prices,100,102.200748,104.4822735,106.9147991,109.8311247,113.4504755,117.0438263,122.0953525,127.4332787
Turkey,Real house price indices,100,106.769245,105.8944649,99.87831501,91.21729994,99.05824069,112.3221469,155.4028414,194.4183664
Turkey,Rent prices,100,108.6668196,118.5861691,130.0503935,143.1923178,156.5797172,172.6302914,221.2254389,405.0444047
United Kingdom,Real house price indices,100,105.6565642,108.4807478,109.7490493,109.129783,111.6944333,117.942147,119.1817559,111.9539444
United Kingdom,Rent prices,100,101.7245689,102.6993252,103.1742064,103.924019,105.3986503,107.1482129,110.8972757,117.2706823
United States,Real house price indices,100,104.5144837,109.022782,113.3594624,117.3774987,125.2156919,140.1943015,149.6205974,151.3276296
United States,Rent prices,100,103.7728156,107.7309912,111.6274417,115.7650674,119.3814679,122.0619183,129.4263694,139.720296
China,Real house price indices,100,109.877735,122.4894711,127.0653678,128.3161772,129.746875,133.5645307,132.2329313,131.7184102
Indonesia,Real house price indices,100,100.0631317,99.84034635,99.79481312,98.52056849,98.11814188,97.85095779,95.12652915,92.89669517
Australia,Price to rent ratio,100,104.7144369,112.7468123,110.4092377,105.5404832,112.2899389,132.076203,137.6912229,130.7357056
Canada,Price to rent ratio,100,109.2511718,121.0912665,124.0899691,122.5673722,128.3557086,144.8012156,154.0434016,141.8953745
Germany,Price to rent ratio,100,106.239501,111.2224495,116.8449954,121.8584206,129.4580699,142.5339005,147.2752431,132.063654
Japan,Price to rent ratio,100,102.5098709,105.4042596,107.6125852,109.3389722,109.3828506,116.0174504,125.6739019,129.3847395
Korea (Republic of),Price to rent ratio,100,99.76627608,99.37004887,100.124899,99.93264915,103.052857,110.5689508,110.8356479,102.5423578
New Zealand,Price to rent ratio,100,111.7209898,116.3993555,117.8391583,118.2860092,126.132953,154.5852746,149.1978906,133.6305534
Turkey,Price to rent ratio,100,104.5758476,105.7838172,103.800739,98.51019894,110.8318777,137.2005378,267.7686954,300.064075
United Kingdom,Price to rent ratio,100,105.1701336,108.9051888,111.9534535,112.201287,113.7676872,121.0119827,127.7867975,121.2708223
United States,Price to rent ratio,100,101.7339537,104.0056701,106.5085797,107.8622433,112.7864314,128.6190466,137.9819079,134.1254057
Australia,Price to income ratio,100,105.1138126,112.3894449,107.5539688,100.4847103,100.1829796,113.4083861,118.0361493,120.047598
Canada,Price to income ratio,100,110.9437037,119.4514408,122.1163104,120.1020983,120.4149572,134.0394346,144.3410412,137.8575732
Germany,Price to income ratio,100,105.0495112,108.2031747,111.2329892,115.1260673,123.9290438,134.3889979,131.9463189,113.8639673
Japan,Price to income ratio,100,101.0296683,102.3933411,103.0855401,102.8896498,98.13380096,106.9388344,113.6770225,112.9226702
Korea (Republic of),Price to income ratio,100,99.28481195,97.9625966,95.5479734,91.48317992,91.31778627,95.95222819,93.01549426,84.87608795
New Zealand,Price to income ratio,100,108.8424515,111.5621946,110.2838565,108.3857932,112.5096509,136.1452245,131.0580196,120.113618
United Kingdom,Price to income ratio,100,105.8734062,108.510747,108.3221522,106.1814522,109.7485596,113.9222029,118.7102035,109.7889458
United States,Price to income ratio,100,103.3504226,105.2979479,106.3841574,107.3834793,107.6387075,116.6844308,132.5667102,128.9706848